word,node-label
(สิ่งมาก - ADJ),neg
(สวรรค์ - ADJ),neg
(ย้าย - ADV),neg
(ซ้ำแล้วซ้ำ - ADV),neg
(เที่ยว - ADJ),neg
(กลบ - VERB),neg
(อนด์คลิฟรีสอร์ทแอนด์สปา - ADJ),neg
(ครีม - VERB),neg
(ทิศทาง - VERB),neg
(ดิ้นรน - VERB),neg
(ด้อย - ADJ),neg
(ใกล้ชัดเจน - ADJ),neg
(เจ็ท - VERB),neg
(ตุ๊กตุ๊กข้าม - VERB),neg
(อ่อนโยน - ADJ),neg
(โสร่ง - ADJ),neg
(เดียงสา - ADJ),neg
(ผิดพลาด - ADJ),neg
(กุมภาพันธ์ - VERB),neg
(กระเบื้อง - VERB),neg
(ลอย - ADJ),neg
(ทำใจ - ADV),neg
(เจ็ทสกี - ADV),neg
(แวะ - VERB),neg
(สว่างไสว - VERB),neg
(แพน - VERB),neg
(โบ๊ท - ADJ),neg
(อุกอาจ - ADJ),neg
(เทียบ - ADJ),neg
(ค้าบริการ - VERB),neg
(บางลายุ่ง - VERB),neg
(เบนิดอร์ม - VERB),neg
(ห่าง - ADV),neg
(ออกเฉียง - VERB),neg
(มาเฟีย - ADV),neg
(ฉลาด - ADJ),neg
(รีบ - ADJ),neg
(ซ้ำ - ADJ),neg
(jetskis - VERB),neg
(สะท้อน - ADJ),neg
(ประเทศไทย - ADJ),neg
(ถั่ว - ADJ),neg
(เร่งเร้า - ADJ),neg
(กำปั้น - ADJ),neg
(เชี่ยวชาญ - ADJ),neg
(เข็น - ADJ),neg
(ท้องร่วง - ADJ),neg
(มัด - VERB),neg
(เหนื่อยล้า - VERB),neg
(ยิ้ม - ADV),neg
(ตราบ - ADV),neg
(แปรง - ADV),neg
(หล่น - VERB),neg
(ตำรวจ - VERB),neg
(ล่า - VERB),neg
(ตกหลุม - VERB),neg
(กอริล - VERB),neg
(บานา - ADJ),neg
(กลฉ้อฉล - VERB),neg
(ยิมมวย - VERB),neg
(googled - VERB),neg
(วิกฤติ - VERB),neg
(Street - VERB),neg
(บันเทิง - ADJ),neg
(ดีงาม - ADV),neg
(โสเภณี - ADJ),neg
(วิลล่า - VERB),neg
(สถานอาบอบนวด - VERB),neg
(เพลิดเพลิน - ADJ),neg
(คุณเกา - VERB),neg
(เจาะจง - VERB),neg
(หาดกะตะแทน - VERB),neg
(กู้ - VERB),neg
(คลาน - VERB),neg
(ต่อเนื่อง - ADV),neg
(พอง - VERB),neg
(อ้าง - ADV),neg
(เสื้อผ้า - ADJ),neg
(สกปรก - VERB),neg
(ฟื้น - VERB),neg
(ละเมิด - VERB),neg
(แอ็คชั่น - VERB),neg
(ตุ๊กตุ๊กสั้น - ADJ),neg
(กล่อง - VERB),neg
(สำเร็จ - VERB),neg
(เซ่อ - VERB),neg
(ยาวเว้น - VERB),neg
(คัดสรร - VERB),neg
(โทรโข่ง - VERB),neg
(อ้อม - ADJ),neg
(สถานที่อยู่อาศัย - VERB),neg
(เข็น - VERB),neg
(โซน - ADJ),neg
(หลับ - ADJ),neg
(ไกด์ - VERB),neg
(ที่สระ - ADV),neg
(บล็อก - VERB),neg
(สบายใจ - VERB),neg
(ปะ - VERB),neg
(แหวก - VERB),neg
(เข้ม - ADJ),neg
(โน้ม - VERB),neg
(คาสิโน - VERB),neg
(จราจร - ADV),neg
(สุ่ม - ADJ),neg
(parasailors - VERB),neg
(แปลง - VERB),neg
(เบียร์ - ADJ),neg
(ลืม - ADJ),neg
(ดั้งเดิม - ADV),neg
(เข็มฉีด - VERB),neg
(สิทธิ์ - VERB),neg
(นอน - ADJ),neg
(ช็อปปิ้ง - ADV),neg
(ยินดี - ADV),neg
(เดอะมาเฟียแท็กซี่ - VERB),neg
(ตกลอง - VERB),neg
(รวบรวม - VERB),neg
(ลอนดอน - ADJ),neg
(ดำเนินการ - VERB),neg
(โบย - ADV),neg
(ขวา - VERB),neg
(เขตร้อน - VERB),neg
(funtionable - ADJ),neg
(คริสตัลใส - VERB),neg
(เลข - VERB),neg
(ถนนใหญ่ - VERB),neg
(ปรุง - VERB),neg
(คอนโด - ADJ),neg
(เทียน - VERB),neg
(อมา - ADJ),neg
(สะดวก - ADJ),neg
(มือ - ADJ),neg
(ตั๋ว - ADV),neg
(หนัก - ADV),neg
(ตื่น - ADJ),neg
(มือ - ADV),neg
(เหยื่อ - VERB),neg
(จอด - ADJ),neg
(คลื่นใหญ่ - ADJ),neg
(เกาะกูดเกาะสมุย - VERB),neg
(ตาแทน - VERB),neg
(คุณซื้อ - ADJ),neg
(ปัก - VERB),neg
(ส่งเสริม - VERB),neg
(ปาตงมัน - VERB),neg
(badgering - VERB),neg
(แผงขาย - VERB),neg
(ปกป้อง - VERB),neg
(ต้ม - VERB),neg
(starbucks - VERB),neg
(กิ๊ก - VERB),neg
(สระ - ADV),neg
(เน่าดิบ - VERB),neg
(แก้ตัว - ADJ),neg
(จิบ - ADV),neg
(แออัด - ADJ),neg
(ตุ๊กตุ๊กมาเฟีย - VERB),neg
(แผ่นดิน - VERB),neg
(รส - ADJ),neg
(เชือก - ADJ),neg
(ไดรฟ์ - ADV),neg
(โต้แย้ง - VERB),neg
(คลินิก - ADV),neg
(ซ้ำ - VERB),neg
(พลาสติก - ADJ),neg
(ล่ม - ADV),neg
(คุณค้นคว้า - ADJ),neg
(beachit - ADV),neg
(คุณสมัคร - VERB),neg
(ยานพาหนะ - VERB),neg
(กรด - VERB),neg
(คุณแบล็คพูล - VERB),neg
(เต็นท์ - ADV),neg
(คุณมี - ADJ),neg
(โกลาหล - ADJ),neg
(อพยพ - ADV),neg
(คุณซื้อ - VERB),neg
(ตา - ADV),neg
(คุณเศร้าโศก - VERB),neg
(คุณโต้เถียง - ADJ),neg
(เนปาล - ADJ),neg
(ผ้าใบ - VERB),neg
(คุณประหยัด - VERB),neg
(บางอย่าง - VERB),neg
(จำแทน - VERB),neg
(โอ้โห - VERB),neg
(ด้าม - VERB),neg
(ค้าต่าง - VERB),neg
(กัมพูชา - VERB),neg
(หอม - VERB),neg
(กลน้ำ - VERB),neg
(อ่าวมายา - ADJ),neg
(ตัวอย่าง - ADJ),neg
(กร่ม - VERB),neg
(คุณพัฒน์พงษ์ - VERB),neg
(ยื่น - ADJ),neg
(เครียด - VERB),neg
(ปลอม - VERB),neg
(ไล่ล่า - VERB),neg
(มลพิษ - VERB),neg
(waikiki - VERB),neg
(แสง - ADJ),neg
(ล่อ - VERB),neg
(ม็อบ - ADV),neg
(ระเบียง - ADV),neg
(ล่อลวง - ADJ),neg
(จ้าง - ADV),neg
(ตุ๊กตุ๊กดี - VERB),neg
(คดเคี้ยว - VERB),neg
(ขอบใจ - VERB),neg
(แออัดยัดเยียด - VERB),neg
(ถนนสกปรก - ADV),neg
(สปีดอส - VERB),neg
(กปรก - VERB),neg
(คฤหาสน์ - VERB),neg
(ใส่ใจ - ADV),neg
(สมควร - ADJ),neg
(ล้อม - ADJ),neg
(แจ็คอัพ - VERB),neg
(เหยียด - VERB),neg
(คุณสมบัติ - VERB),neg
(สงสัย - ADJ),neg
(แสง - VERB),neg
(จู่โจม - VERB),neg
(บำบัด - VERB),neg
(สื่อสาร - VERB),neg
(รัสเซีย - ADJ),neg
(ยากลำบาก - ADJ),neg
(การกุศล - VERB),neg
(ยาวเหยียด - VERB),neg
(โคลน - VERB),neg
(เกวียน - VERB),neg
(แปลกใหม่ - VERB),neg
(หนาแน่น - VERB),neg
(poooooof - VERB),neg
(กุญแจ - VERB),neg
(จูงใจ - VERB),neg
(จุดหมายปลายทาง - VERB),neg
(คุณคาด - VERB),neg
(คัดค้าน - VERB),neg
(ยุง - VERB),neg
(ไนทอน - VERB),neg
(แฟน - VERB),neg
(สูท - VERB),neg
(ไว้วางใจ - VERB),neg
(เศร้ามาก - ADJ),neg
(หนักหน่วง - ADJ),neg
(การค้า - VERB),neg
(ยุ่งเหยิง - VERB),neg
(สปา - ADV),neg
(นวด - ADJ),neg
(เฝ้า - VERB),neg
(ร่มรื่น - ADJ),neg
(x - ADJ),neg
(ต้านทาน - VERB),neg
(ดูด - ADJ),neg
(ช้อปปิ้ง - ADV),neg
(โต๊ะ - VERB),neg
(หลบหนี - VERB),neg
(ฉีก - VERB),neg
(พื้นฐาน - VERB),neg
(เสนอ - ADJ),neg
(เช้าตรู่ - ADJ),neg
(อม - ADJ),neg
(ที่บิน - ADV),neg
(กะตะสวรรค์ - VERB),neg
(กัมโบเดีย - VERB),neg
(คุณคุณ - VERB),neg
(น้ำเงิน - ADJ),neg
(ไอ - VERB),neg
(กะรน - VERB),neg
(รูป - VERB),neg
(จองหอง - ADV),neg
(กระหน่ำ - VERB),neg
(ฉาก - VERB),neg
(ก้าวหน้า - VERB),neg
(คุณรำคาญ - VERB),neg
(ก้น - VERB),neg
(กล้อง - VERB),neg
(ปะการัง - VERB),neg
(น้ำตาล - ADJ),neg
(วาน่า - VERB),neg
(สาบาน - VERB),neg
(กะรนกะตะ - VERB),neg
(ตลก - ADV),neg
(ปริมาณ - ADV),neg
(เปื่อย - VERB),neg
(paragliders - VERB),neg
(โชค - ADJ),neg
(เหงื่อ - VERB),neg
(เปรียบ - VERB),neg
(ปลา - VERB),neg
(เจ้าของ - ADJ),neg
(รับผิดชอบ - VERB),neg
(ขโมย - VERB),neg
(บิล - ADJ),neg
(กาล - VERB),neg
(มหัศจรรย์ - ADV),neg
(หนา - VERB),neg
(สวย - ADV),neg
(โยน - ADJ),neg
(สำราญ - VERB),neg
(โฆษณา - VERB),neg
(ทำลาย - VERB),neg
(บวก - ADJ),neg
(คุณพลาด - ADJ),neg
(ถอย - VERB),neg
(ร่มเก่า - ADJ),neg
(ถนนปกติ - ADJ),neg
(ขี้ - ADJ),neg
(แพ้ - VERB),neg
(ตะกอน - VERB),neg
(ลองค้นหา - ADV),neg
(ร้านค้า - VERB),neg
(รุมล้อม - VERB),neg
(อุปถัมภ์ - ADJ),neg
(ปรารถนา - VERB),neg
(ทรายละเอียด - VERB),neg
(ร้ายแรง - ADJ),neg
(google - VERB),neg
(แฝง - VERB),neg
(หอย - ADJ),neg
(อนาคต - VERB),neg
(กุ้งสาม - VERB),neg
(phuket - VERB),neg
(thaliand - VERB),neg
(ไวรัส - VERB),neg
(เมา - VERB),neg
(ซับซ้อน - ADJ),neg
(เอารัดเอาเปรียบ - ADV),neg
(ยัด - VERB),neg
(โง่ - VERB),neg
(ฉับพลัน - VERB),neg
(พลาสติก - VERB),neg
(tooooooo - ADJ),neg
(ท่อ - ADJ),neg
(อาเจียน - VERB),neg
(พลาด - ADJ),neg
(ไอศกรีม - VERB),neg
(ลื่น - VERB),neg
(birgolas karon - VERB),neg
(ครอบครัว - VERB),neg
(หาด - VERB),neg
(บุกรุก - VERB),neg
(ไหล - ADV),neg
(โต้เถียง - ADV),neg
(ปฏิกูล - VERB),neg
(พัง - VERB),neg
(ลิง - VERB),neg
(แกล้ง - ADJ),neg
(ฉุด - VERB),neg
(ขับขี่ - VERB),neg
(แน่ใจ - ADJ),neg
(สุข - ADV),neg
(กลอง - VERB),neg
(โดนัท - VERB),neg
(โอเค - ADJ),neg
(กระจ่าง - VERB),neg
(ping - VERB),neg
(อุปสรรค์ - VERB),neg
(อร่อย - ADV),neg
(เกลียด - ADV),neg
(แท็กซี่ - VERB),neg
(ตองเว้น - VERB),neg
(คุกคาม - ADJ),neg
(ส้วม - VERB),neg
(hummm - ADJ),neg
(dvd - VERB),neg
(ตกใจ - VERB),neg
(ลำโพง - VERB),neg
(ระมัดระวัง - ADV),neg
(กรอก - VERB),neg
(ยึดครอง - VERB),neg
(เลื่องลือ - VERB),neg
(ทำใจ - VERB),neg
(คณะกรรมการการท่องเที่ยว - VERB),neg
(ปกคลุม - VERB),neg
(คาย - VERB),neg
( จำกัด - VERB),neg
(เจ็บตา - VERB),neg
(คุณ พิทักษ์ - VERB),neg
(Patong - VERB),neg
(เต็ม - ADJ),neg
(เกรียม - ADJ),neg
(น้ำตาล - VERB),neg
(พัน - VERB),neg
(โสโครก - VERB),neg
(แปลก - ADV),neg
(ฉ้อโกง - VERB),neg
(อัปยศ - ADJ),neg
(ครอบงำ - VERB),neg
(อ่อนโยน - VERB),neg
(หยาบคาย - VERB),neg
(สั่นสะเทือน - VERB),neg
(แย่ - ADJ),neg
(ทำมาหากิน - ADJ),neg
(คลับ - ADJ),neg
(มังกร - ADV),neg
(ประสาท - VERB),neg
(คุณเพลิดเพลิน - VERB),neg
(ps - VERB),neg
(โจชั้น - ADV),neg
(เว้น - ADJ),neg
(ปรักหักพัง - VERB),neg
(แคบ - VERB),neg
(ยินดี - VERB),neg
(งบ - ADV),neg
(เชิญ - VERB),neg
(เข่า - VERB),neg
(การ์ด - VERB),neg
(desecration - VERB),neg
(ถนนสกปรก - ADJ),neg
(กะตะบู - VERB),neg
(โกรธ - VERB),neg
(ค้นพบ - VERB),neg
(ๆ น้อย - ADV),neg
(ยิ้มแย้มแจ่มใส - VERB),neg
(เคร็ง - VERB),neg
(อ้วน - ADJ),neg
(เครื่องแบบ - VERB),neg
(ตัดสิน - VERB),neg
(ลิ้ม - VERB),neg
(ตื้น - ADJ),neg
(ชดเชย - VERB),neg
(เหวี่ยง - VERB),neg
(เผา - VERB),neg
(กร่อย - VERB),neg
(หวัง - VERB),neg
(เกลียว - VERB),neg
(ถกเถียง - VERB),neg
(goin - ADJ),neg
(ใส - ADJ),neg
(ขี้ - ADV),neg
(เมืองภูเก็ต - VERB),neg
(สบถ - ADJ),neg
(อนุรักษ์นิยม - ADJ),neg
(โจมตี - VERB),neg
(กรรโชก - VERB),neg
(ค่ำ - ADJ),neg
(จืด - VERB),neg
(เหนื่อย - ADJ),neg
(เช่าเจ็ตส์ - VERB),neg
(รับมือ - ADJ),neg
(กำไล - VERB),neg
(งี่ - ADJ),neg
(หลอกลวง - VERB),neg
(ยาง - VERB),neg
(ไต่ - VERB),neg
(คาเฟ่ - VERB),neg
(ขยะแขยง - VERB),neg
(เพศสัมพันธ์ - VERB),neg
(ต้น - VERB),neg
(เลวทราม - VERB),neg
(ดู - ADV),neg
(ที่ปรึกษา - VERB),neg
(ชักชวน - VERB),neg
(นรก - VERB),neg
(jetskies - VERB),neg
(เบียร์ - VERB),neg
(ล้นมือ - VERB),neg
(คู่ - VERB),neg
(เขียง - ADV),neg
(สถานที่ - ADJ),neg
(p - VERB),neg
(เด็ก - ADV),neg
(รื่นเริง - ADJ),neg
(ยิม - VERB),neg
(โรงแรม - ADJ),neg
(คุณหลง - ADJ),neg
(อินเดีย - VERB),neg
(ใบ - VERB),neg
(เจ็ตสกีไรด์ - VERB),neg
(นั้น จำกัด - VERB),neg
(เมืองเก่า - ADJ),neg
(ไร้ - VERB),neg
(เชียงใหม่ - ADJ),neg
(ต่ำต้อย - ADV),neg
(ทรายยาก - VERB),neg
(ปิงปอง - VERB),neg
(คุณรวย - VERB),neg
(ปั่นเจ็ทสกี - VERB),neg
(เยือกเย็น - VERB),neg
(ธรรมชาติ - ADJ),neg
(ยูก - VERB),neg
(ลำพัง - ADV),neg
(โผล่ - ADJ),neg
(แขวน - VERB),neg
(อนุญาต - ADJ),neg
(ซ่อน - ADJ),neg
(เการายการ - VERB),neg
(เร่ง - ADJ),neg
(fakt - VERB),neg
(ระบาย - VERB),neg
(ตอบ - VERB),neg
(พายุ - VERB),neg
(แอสตาเลี่ยน - VERB),neg
(หมาย - ADJ),neg
(เก้าอี้ - ADV),neg
(เชิง - VERB),neg
(สุดท้าย - VERB),neg
(ขุ่นมัว - VERB),neg
(ลาน - VERB),neg
(ตุ๋น - VERB),neg
(แกะ - VERB),neg
(zillion - VERB),neg
(แน่น - ADJ),neg
(สมควร - VERB),neg
(เมนู - VERB),neg
(ปรับปรุง - VERB),neg
(สด - ADJ),neg
(ถุง - VERB),neg
(ประทับใจ - VERB),neg
(Phucket - ADV),neg
(ลอนดอน - VERB),neg
(เสาะ - VERB),neg
(พัน - ADJ),neg
(ตาด - VERB),neg
(ดูปะการัง - VERB),neg
(ดึงดูด - ADJ),neg
(กล่าวหา - VERB),neg
(ฐานะ - ADJ),neg
(ประสงค์ - VERB),neg
(สนทนา - VERB),neg
(บ่อ - ADJ),neg
(กังกุน - VERB),neg
(พีพีแทน - VERB),neg
(คล้ำ - VERB),neg
(กมลา - VERB),neg
(ยอด - VERB),neg
(ต่อยหลาย - VERB),neg
(หลอก - VERB),neg
(ท้าทาย - VERB),neg
(ก๋วยเตี๋ยว - VERB),neg
(ก่อสร้าง - VERB),neg
(ญาติ - ADJ),neg
(ทาน - ADJ),neg
(เกาะพีพี - VERB),neg
(ฉิบหาย - ADJ),neg
(กับดัก - VERB),neg
(เกาะปะการัง - VERB),neg
(อาญา - ADJ),neg
(โกหก - ADJ),neg
(เหม็น - ADJ),neg
(เลิก - VERB),neg
(เศร้าใจ - VERB),neg
(ท่อ - VERB),neg
(ประเมิน - VERB),neg
(ปวด - VERB),neg
(มี จำกัด - VERB),neg
(ไหร่ - ADV),neg
(อิสระ - ADJ),neg
(หลุม - VERB),neg
(กลิ้ง - VERB),neg
(patong - VERB),neg
(งุนงง - VERB),neg
(จัดปาร์ตี้ - VERB),neg
(ตุ๊กตุ๊กหยาบคาย - VERB),neg
(ก่อ - VERB),neg
(ตะ - VERB),neg
(คอ - VERB),neg
(จ่าย - ADV),neg
(เจอ - ADJ),neg
(ว่าง - VERB),neg
(หมู - VERB),neg
(แข็งแกร่ง - ADJ),neg
(กำจัด - VERB),neg
(sportshave - VERB),neg
(แข็ง - ADJ),neg
(ปนเปื้อน - VERB),neg
(คำราม - VERB),neg
(กราน - VERB),neg
(หงุดหงิด - ADJ),neg
(คริสติล - VERB),neg
(บ้าคลั่ง - ADJ),neg
(เขี่ย - ADJ),neg
(ชั่วโมง - VERB),neg
(วาน - VERB),neg
(ปล่อย - ADV),neg
(ไปไหนมาไหน - VERB),neg
(เล่นเจ็ตสกี  - VERB),neg
(โดยสระ - ADJ),neg
(เกาะลันตา - ADJ),neg
(ทิ้ง - VERB),neg
(ถัง - ADV),neg
(ดม - VERB),neg
(ห่อ - VERB),neg
(ไตรตรังและ - VERB),neg
(กาลิม กมลา - VERB),neg
(สงบสุข - ADJ),neg
(กลิ่น - VERB),neg
(ขบขัน - VERB),neg
(เมืองภูเก็ต - ADJ),neg
(โทร - ADJ),neg
(คุ้ม - ADJ),neg
(สามสระ - ADJ),neg
(ตะโกน - VERB),neg
(ฉีก - ADJ),neg
(กะเพื่อ - VERB),neg
(สถาน - VERB),neg
(ต่อสู้ - VERB),neg
(สโมสร - ADV),neg
(สำลัก - VERB),neg
(ละลาย - VERB),neg
(ตุ๊กตุ๊กโลภ - VERB),neg
(แพง - ADJ),neg
(หัวเราะ - VERB),neg
(หาดป่า - ADJ),neg
(โกหก - VERB),neg
(เจ็ทสกีเสียง - ADV),neg
(ด้วยซ้ำ - ADV),neg
(แชร์ - ADJ),neg
(กวางคา - VERB),neg
(วาง - ADJ),neg
